,R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR.,B_SIG_STR.,R_SIG_STR_pct,B_SIG_STR_pct,R_TOTAL_STR.,B_TOTAL_STR.,R_TD,B_TD,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,R_HEAD,B_HEAD,R_BODY,B_BODY,R_LEG,B_LEG,R_DISTANCE,B_DISTANCE,R_CLINCH,B_CLINCH,R_GROUND,B_GROUND,win_by,last_round,last_round_time,Format,Referee,date,location,Fight_type,Winner
3387,Danny Castillo,Shamar Bailey,0,0,22 of 34,3 of 4,64%,75%,45 of 61,21 of 23,3 of 3,0 of 0,100%,0%,0,0,2,0,0,0,17 of 29,3 of 4,4 of 4,0 of 0,1 of 1,0 of 0,2 of 2,0 of 1,0 of 0,1 of 1,20 of 32,2 of 2,KO/TKO,1,4:52,3 Rnd (5-5-5),Jason McCoy,2011-11-19,"San Jose, California, USA",Lightweight Bout,Danny Castillo
3388,Cain Velasquez,Junior Dos Santos,0,1,7 of 14,8 of 13,50%,61%,7 of 14,12 of 19,0 of 1,0 of 0,0%,0%,0,0,0,0,0,0,3 of 9,6 of 10,0 of 0,2 of 3,4 of 5,0 of 0,7 of 14,4 of 8,0 of 0,0 of 0,0 of 0,4 of 5,KO/TKO,1,1:04,5 Rnd (5-5-5-5-5),John McCarthy,2011-11-12,"Anaheim, California, USA",UFC Heavyweight Title Bout,Junior Dos Santos
3389,Clay Guida,Benson Henderson,0,1,11 of 40,40 of 89,27%,44%,35 of 65,102 of 158,2 of 9,2 of 7,22%,28%,4,0,1,3,0,0,4 of 27,16 of 56,5 of 11,23 of 30,2 of 2,1 of 3,6 of 25,7 of 37,5 of 15,21 of 38,0 of 0,12 of 14,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2011-11-12,"Anaheim, California, USA",Lightweight Bout,Benson Henderson
3390,Dustin Poirier,Pablo Garza,0,0,17 of 47,14 of 34,36%,41%,31 of 63,24 of 44,1 of 1,0 of 2,100%,0%,1,1,1,0,0,0,14 of 41,1 of 12,1 of 3,5 of 10,2 of 3,8 of 12,9 of 27,13 of 28,3 of 3,1 of 6,5 of 17,0 of 0,Submission,2,1:32,3 Rnd (5-5-5),Larry Landless,2011-11-12,"Anaheim, California, USA",Featherweight Bout,Dustin Poirier
3391,Cub Swanson,Ricardo Lamas,0,0,17 of 43,9 of 30,39%,30%,20 of 47,17 of 38,1 of 1,2 of 4,100%,50%,1,1,1,1,0,0,10 of 29,2 of 20,2 of 4,6 of 6,5 of 10,1 of 4,15 of 40,3 of 20,0 of 1,0 of 0,2 of 2,6 of 10,Submission,2,2:16,3 Rnd (5-5-5),John McCarthy,2011-11-12,"Anaheim, California, USA",Featherweight Bout,Ricardo Lamas
3392,DaMarques Johnson,Clay Harvison,1,0,6 of 20,6 of 21,30%,28%,6 of 20,6 of 21,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,6 of 20,2 of 17,0 of 0,0 of 0,0 of 0,4 of 4,5 of 19,6 of 21,0 of 0,0 of 0,1 of 1,0 of 0,KO/TKO,1,1:34,3 Rnd (5-5-5),Herb Dean,2011-11-12,"Anaheim, California, USA",Welterweight Bout,DaMarques Johnson
3393,Norifumi Yamamoto,Darren Uyenoyama,0,0,15 of 28,15 of 18,53%,83%,27 of 40,84 of 100,1 of 4,2 of 3,25%,66%,0,1,0,3,1,1,7 of 19,7 of 9,6 of 7,6 of 7,2 of 2,2 of 2,10 of 22,5 of 8,3 of 3,3 of 3,2 of 3,7 of 7,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Larry Landless,2011-11-12,"Anaheim, California, USA",Bantamweight Bout,Darren Uyenoyama
3394,Mackens Semerzier,Robert Peralta,0,2,50 of 92,39 of 99,54%,39%,65 of 108,65 of 129,1 of 5,0 of 0,20%,0%,0,0,0,0,0,0,12 of 49,23 of 77,19 of 21,9 of 15,19 of 22,7 of 7,33 of 72,20 of 75,11 of 13,6 of 9,6 of 7,13 of 15,Overturned,3,1:54,3 Rnd (5-5-5),John McCarthy,2011-11-12,"Anaheim, California, USA",Featherweight Bout,
3395,Alex Caceres,Cole Escovedo,0,0,102 of 174,24 of 58,58%,41%,110 of 182,28 of 63,0 of 0,2 of 4,0%,50%,1,0,0,1,0,0,59 of 126,8 of 33,31 of 34,11 of 15,12 of 14,5 of 10,93 of 163,24 of 56,6 of 7,0 of 2,3 of 4,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2011-11-12,"Anaheim, California, USA",Bantamweight Bout,Alex Caceres
3396,Mike Pierce,Paul Bradley,0,0,75 of 144,63 of 145,52%,43%,133 of 206,69 of 155,0 of 1,0 of 4,0%,0%,0,0,0,0,0,0,51 of 116,46 of 124,14 of 14,10 of 11,10 of 14,7 of 10,59 of 127,51 of 130,13 of 14,12 of 15,3 of 3,0 of 0,Decision - Split,3,5:00,3 Rnd (5-5-5),Larry Landless,2011-11-12,"Anaheim, California, USA",Welterweight Bout,Mike Pierce
3397,Aaron Rosa,Matt Lucas,0,0,59 of 99,19 of 39,59%,48%,256 of 311,48 of 75,0 of 0,1 of 10,0%,10%,0,0,0,1,0,0,25 of 63,19 of 39,29 of 31,0 of 0,5 of 5,0 of 0,18 of 55,14 of 34,41 of 44,4 of 4,0 of 0,1 of 1,Decision - Majority,3,5:00,3 Rnd (5-5-5),John McCarthy,2011-11-12,"Anaheim, California, USA",Light Heavyweight Bout,Aaron Rosa
3398,Chris Leben,Mark Munoz,0,0,12 of 35,39 of 74,34%,52%,61 of 88,55 of 92,2 of 2,5 of 9,100%,55%,2,0,0,3,0,0,8 of 30,22 of 56,3 of 3,16 of 17,1 of 2,1 of 1,4 of 17,5 of 11,6 of 11,5 of 9,2 of 7,29 of 54,KO/TKO,2,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,2011-11-05,"Birmingham, England, United Kingdom",Middleweight Bout,Mark Munoz
